txn_id,timestamp,sender_id,receiver_id,amount,txn_type,velocity_60s,sim_swap_days,is_night_txn,is_fraud
TXN_1000000,2026-05-08 01:15:41.470750,254723220651,254798474500,720.97,B2C,2,184,1,0
TXN_1000001,2026-05-12 09:55:27.470750,254754430985,254749881459,3088.84,B2B,2,323,0,0
TXN_1000002,2026-05-10 07:51:21.470750,254768740513,254715690490,82.46,C2B,3,208,0,0
TXN_1000003,2026-05-16 05:30:32.470750,254770532454,254732742819,528.42,P2P,2,119,0,0
TXN_1000004,2026-04-26 20:48:09.470750,254778330393,254790585973,5276.77,P2P,2,26,0,0
TXN_1000005,2026-04-27 14:41:12.470750,254754588795,254792593762,1803.07,B2B,2,283,0,0
TXN_1000006,2026-05-15 07:32:41.470750,254754914301,254744977569,113.1,B2C,1,101,0,0
TXN_1000007,2026-05-21 21:47:32.470750,254788250700,254739610904,19.73,B2C,2,306,0,0
TXN_1000008,2026-05-02 07:54:43.470750,254771468253,254741607980,180.75,P2P,2,266,0,0
TXN_1000009,2026-05-06 00:55:21.470750,254754881546,254767290463,1774.05,P2P,2,352,1,0
TXN_1000010,2026-05-19 13:17:28.470750,254728402547,254799947754,152.11,B2B,3,243,0,0
TXN_1000011,2026-05-08 14:13:37.470750,254791383559,254714420969,3693.05,B2C,2,108,0,0
TXN_1000012,2026-05-11 07:39:08.470750,254747131636,254765740592,1271.8,P2P,1,151,0,0
TXN_1000013,2026-05-01 18:51:13.470750,254728713783,254782585451,298.33,B2C,3,325,0,0
TXN_1000014,2026-05-08 01:40:17.470750,254740483269,254748545327,178.9,C2B,1,321,1,0
TXN_1000015,2026-05-07 05:47:06.470750,254799662138,254730947584,672.13,B2B,3,8,0,0
TXN_1000016,2026-05-15 04:10:48.470750,254749103755,254797761641,7181.19,B2C,2,64,1,0
TXN_1000017,2026-05-21 23:57:53.470750,254736215561,254721294168,2061.35,B2C,2,3,1,0
TXN_1000018,2026-05-06 16:10:18.470750,254732804426,254778730130,889.19,B2C,3,217,0,0
TXN_1000019,2026-04-25 10:18:07.470750,254736687285,254775257368,977.51,C2B,1,237,0,0
TXN_1000020,2026-05-09 04:10:30.470750,254780134294,254753966888,2047.98,C2B,1,39,1,0
TXN_1000021,2026-05-21 18:41:15.470750,254754181229,254775389207,9866.96,B2C,3,304,0,0
TXN_1000022,2026-05-13 23:07:16.470750,254728271821,254733724204,86.5,B2C,3,247,1,0
TXN_1000023,2026-04-28 14:27:35.470750,254763905971,254724420524,3118.0,B2C,1,134,0,0
TXN_1000024,2026-05-23 07:01:32.470750,254785733654,254725643168,1528.75,B2C,3,56,0,0
TXN_1000025,2026-05-03 13:23:54.470750,254719444623,254731225873,2465.1,B2C,1,48,0,0
TXN_1000026,2026-05-20 16:56:07.470750,254784905648,254758952325,3797.26,B2C,1,316,0,0
TXN_1000027,2026-05-03 05:14:57.470750,254782847883,254762671267,4148.17,B2C,2,347,0,0
TXN_1000028,2026-04-30 20:50:37.470750,254782265477,254720180480,560.8,C2B,3,48,0,0
TXN_1000029,2026-05-08 18:41:30.470750,254781443188,254793893392,475.95,B2C,2,61,0,0
